"""Preview""","""Collection""","""Obs. ID""","""Product ID""","""RA (J2000.0)""","""Dec. (J2000.0)""","""Start Date""","""Instrument""","""Int. Time""","""Target Name""","""Filter""","""Cal. Lev.""","""Obs. Type""","""Min. Wavelength""","""Max. Wavelength""","""Proposal ID""","""P.I. Name""","""Data Release""","""Field of View""","""Shape""","""Pixel Scale""","""Resolving Power""","""End Date""","""Data Type""","""Moving Target""","""Provenance Name""","""Provenance Keywords""","""Intent""","""Target Type""","""Target Standard""","""Target Keywords""","""Meta Release""","""Sequence Number""","""Algorithm Name""","""Proposal Title""","""Proposal Keywords""","""IQ""","""Instrument Keywords""","""Tau""","""Molecule""","""Transition""","""Proposal Project""","""Band""","""Prov. Reference""","""Prov. Version""","""Prov. Project""","""Prov. Producer""","""Prov. Run ID""","""Prov. Last Executed""","""Prov. Inputs""","""Rest-frame Energy""","""Quality""","""planeID""","""DOWNLOADABLE""","""Publisher ID"""
caom:BLAST/BLASTw75n2005-06-12,BLAST,BLASTw75n2005-06-12,REDUCED_250_2006-01-01,309.7011481319748,42.474196174177386,,BLAST,,w75n,BLAST-250um,2,,2.0999999999999998E-4,3.0199999999999997E-4,BLAST,Mark Devlin,2008-03-22T00:00:00.000,0.3400972769103987,polygon 310.2558355676041 42.52713841578474 309.77434463854104 42.06539398650776 309.14738142297364 42.41863730969812 309.6270545606142 42.882928844357956,15.000012,2.78260869565,,image,0,SANEPIC,,science,field,0,,2008-03-22T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,,2.5E-4,,00000000-0000-0000-0856-0139555d0cf4,ivo://cadc.nrc.ca/BLAST?BLASTw75n2005-06-12/REDUCED_250_2006-01-01,ivo://cadc.nrc.ca/BLAST?BLASTw75n2005-06-12/REDUCED_250_2006-01-01
caom:BLAST/BLASTw75n2005-06-12,BLAST,BLASTw75n2005-06-12,REDUCED_350_2006-01-01,309.7011481319748,42.474196174177386,,BLAST,,w75n,BLAST-350um,2,,2.9499999999999996E-4,4.25E-4,BLAST,Mark Devlin,2008-03-22T00:00:00.000,0.3400972769103987,polygon 310.2558355676041 42.52713841578474 309.77434463854104 42.06539398650776 309.14738142297364 42.41863730969812 309.6270545606142 42.882928844357956,15.000012,2.78260869565,,image,0,SANEPIC,,science,field,0,,2008-03-22T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,,3.5E-4,,00000000-0000-0000-8577-0139555d1442,ivo://cadc.nrc.ca/BLAST?BLASTw75n2005-06-12/REDUCED_350_2006-01-01,ivo://cadc.nrc.ca/BLAST?BLASTw75n2005-06-12/REDUCED_350_2006-01-01
caom:BLAST/BLASTw75n2005-06-12,BLAST,BLASTw75n2005-06-12,REDUCED_500_2006-01-01,309.7011481319748,42.474196174177386,,BLAST,,w75n,BLAST-500um,2,,4.17E-4,6.24E-4,BLAST,Mark Devlin,2008-03-22T00:00:00.000,0.3400972769103987,polygon 310.2558355676041 42.52713841578474 309.77434463854104 42.06539398650776 309.14738142297364 42.41863730969812 309.6270545606142 42.882928844357956,15.000012,2.78260869565,,image,0,SANEPIC,,science,field,0,,2008-03-22T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,,5.0E-4,,00000000-0000-0000-9641-0139555d18c6,ivo://cadc.nrc.ca/BLAST?BLASTw75n2005-06-12/REDUCED_500_2006-01-01,ivo://cadc.nrc.ca/BLAST?BLASTw75n2005-06-12/REDUCED_500_2006-01-01
caom:BLAST/BLASTvulpecula2005-06-12,BLAST,BLASTvulpecula2005-06-12,REDUCED_350_2006-10-03,295.2314847243164,23.433390945235587,,BLAST,,vulpecula,BLAST-350um,2,,2.9499999999999996E-4,4.25E-4,BLAST,Mark Devlin,2007-11-21T00:00:00.000,6.7816908548601305,polygon 297.1736027926507 23.909771205431028 295.75692288045883 21.65710097917622 293.30365948493244 22.933167065576427 294.69173627423925 25.20787480269773,18.0,2.78260869565,,image,0,SANEPIC,,science,field,0,,2007-11-21T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,,3.5E-4,,00000000-0000-0000-409c-013b25a746da,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/REDUCED_350_2006-10-03,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/REDUCED_350_2006-10-03
caom:BLAST/BLASTvulpecula2005-06-12,BLAST,BLASTvulpecula2005-06-12,DECON_250_2006-10-03,295.23313043975816,23.425529566128247,,BLAST,,vulpecula,BLAST-250um,2,,2.0999999999999998E-4,3.0199999999999997E-4,BLAST,Mark Devlin,2007-11-21T00:00:00.000,6.78169064663598,polygon 297.1751365572206 23.90189279578847 295.75851685658006 21.649234100425616 293.305410348695 22.925331523380393 294.69344054320106 25.200019761305185,18.0,2.78260869565,,image,0,SANEPIC_FFT,,science,field,0,,2007-11-21T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,caom:BLAST/BLASTvulpecula2005-06-12/REDUCED_250_2006-10-03,2.5E-4,,00000000-0000-0000-5705-013b25a752b8,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/DECON_250_2006-10-03,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/DECON_250_2006-10-03
caom:BLAST/BLASTvulpecula2005-06-12,BLAST,BLASTvulpecula2005-06-12,DECON_350_2006-10-03,295.2314847243164,23.433390945235587,,BLAST,,vulpecula,BLAST-350um,2,,2.9499999999999996E-4,4.25E-4,BLAST,Mark Devlin,2007-11-21T00:00:00.000,6.7816908548601305,polygon 297.1736027926507 23.909771205431028 295.75692288045883 21.65710097917622 293.30365948493244 22.933167065576427 294.69173627423925 25.20787480269773,18.0,2.78260869565,,image,0,SANEPIC_FFT,,science,field,0,,2007-11-21T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,caom:BLAST/BLASTvulpecula2005-06-12/REDUCED_350_2006-10-03,3.5E-4,,00000000-0000-0000-9deb-013b25a75720,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/DECON_350_2006-10-03,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/DECON_350_2006-10-03
caom:BLAST/BLASTvulpecula2005-06-12,BLAST,BLASTvulpecula2005-06-12,DECON_500_2006-10-03,295.2290938793994,23.411288719493754,,BLAST,,vulpecula,BLAST-500um,2,,4.17E-4,6.24E-4,BLAST,Mark Devlin,2007-11-21T00:00:00.000,6.93868732059326,polygon 297.1933012674775 23.89304852181 295.76044816531345 21.614554974782394 293.27949284711684 22.905159356299166 294.6831149869505 25.20617627279117,18.0,2.78260869565,,image,0,SANEPIC_FFT,,science,field,0,,2007-11-21T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,caom:BLAST/BLASTvulpecula2005-06-12/REDUCED_500_2006-10-03,5.0E-4,,00000000-0000-0000-9820-013b25a75ca5,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/DECON_500_2006-10-03,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/DECON_500_2006-10-03
caom:BLAST/BLASTvulpecula2005-06-12,BLAST,BLASTvulpecula2005-06-12,REDUCED_250_2006-10-03,295.23313043975816,23.425529566128247,,BLAST,,vulpecula,BLAST-250um,2,,2.0999999999999998E-4,3.0199999999999997E-4,BLAST,Mark Devlin,2007-11-21T00:00:00.000,6.78169064663598,polygon 297.1751365572206 23.90189279578847 295.75851685658006 21.649234100425616 293.305410348695 22.925331523380393 294.69344054320106 25.200019761305185,18.0,2.78260869565,,image,0,SANEPIC,,science,field,0,,2007-11-21T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,,2.5E-4,,00000000-0000-0000-0943-013b25a73f74,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/REDUCED_250_2006-10-03,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/REDUCED_250_2006-10-03
caom:BLAST/BLASTvulpecula2005-06-12,BLAST,BLASTvulpecula2005-06-12,REDUCED_500_2006-10-03,295.2290938793994,23.411288719493754,,BLAST,,vulpecula,BLAST-500um,2,,4.17E-4,6.24E-4,BLAST,Mark Devlin,2007-11-21T00:00:00.000,6.93868732059326,polygon 297.1933012674775 23.89304852181 295.76044816531345 21.614554974782394 293.27949284711684 22.905159356299166 294.6831149869505 25.20617627279117,18.0,2.78260869565,,image,0,SANEPIC,,science,field,0,,2007-11-21T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Guillaume Patanchon,,2010-03-16T18:54:00.000,,5.0E-4,,00000000-0000-0000-444b-013b25a74c82,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/REDUCED_500_2006-10-03,ivo://cadc.nrc.ca/BLAST?BLASTvulpecula2005-06-12/REDUCED_500_2006-10-03
caom:BLAST/BLASTveladeep2006-12-21,BLAST,BLASTveladeep2006-12-21,REDUCED_350_2008-06-26,134.55228482749555,-45.42329935739241,,BLAST,,veladeep,BLAST-350um,2,,2.9499999999999996E-4,4.25E-4,BLAST,Mark Devlin,2009-04-09T00:00:00.000,106.50758795247921,polygon 124.36477223017901 -41.503537688809246 131.68015264811325 -37.34405852952514 146.04131476407704 -48.315466491250646 138.38380781567207 -53.40647711898305,10.000008000000001,2.78260869565,,image,0,Almagest,,science,field,0,,2009-04-09T00:00:00.000,,exposure,The Balloon-borne Large Aperture Submillimeter Telescope,,,,0.0,,,,Millimeter,http://dx.doi.org/10.1086/,1.0,BLAST,Matthew Truch,,2010-03-16T18:55:00.000,,3.5E-4,,00000000-0000-0000-0ff8-0139555c5b57,ivo://cadc.nrc.ca/BLAST?BLASTveladeep2006-12-21/REDUCED_350_2008-06-26,ivo://cadc.nrc.ca/BLAST?BLASTveladeep2006-12-21/REDUCED_350_2008-06-26
